Uuid,Same as mappings,Void/Retire,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
34a7e15c-8d14-4cf6-80dd-cc2f31a72434,,,Cambodia_Mucus in Diarrhea,Cambodia_Mucus in Diarrhea,mucus in diarrhea,រាកមានសំបោរ,,,Misc,N/A,,,,,,,,,,,
4c8faa59-75af-4567-8e12-06d8035b2e75,,,Cambodia_Gastrointestinal Symptoms,Cambodia_Gastrointestinal Symptoms,ABDOMEN Symptoms,រោគសញ្ញាប្រព័ន្ធរំលាយអាហារ​,,,Question,Coded,,Cambodia_Normal; Cambodia_Nausea; Cambodia_Vomiting; Cambodia_Abdominal pain; Cambodia_Abdominal swelling; Cambodia_Simple Diarrhea; Cambodia_Severe Diarrhea; Cambodia_Bloody Diarrhea; Cambodia_Mucus in Diarrhea; ,,,,,,,,,
ae1c2423-8d9a-4523-9478-678afd4f8f48,,,Cambodia_Dysuria,Cambodia_Dysuria,dysuria,ពិបាកនោម,,,Misc,N/A,,,,,,,,,,,
6bba946a-503c-4e05-9c12-d9c82317d122,,,Cambodia_Frequency of Urinate,Cambodia_Frequency of Urinate,frequent urination,នោមញឺកញាប់,,,Misc,N/A,,,,,,,,,,,
51f44278-98f0-4cc5-9dd1-cb6562e25a0b,,,Cambodia_Hematuria,Cambodia_Hematuria,hematuria,នោមលាយឈាម,,,Misc,N/A,,,,,,,,,,,
e76e2929-5b8e-41d8-a2ab-815a05b64ee9,,,Cambodia_Incontinence,Cambodia_Incontinence,incontinence,នោមរអាក់រអួល,,,Misc,N/A,,,,,,,,,,,
b79a671b-4bb2-4b69-96ac-a219bba8ea2d,,,Cambodia_Vaginal Discharge,Cambodia_Vaginal Discharge,vaginal discharge,ធ្លាក់ស,,,Misc,N/A,,,,,,,,,,,
62b76c9b-7636-483b-ae68-c357c15c1bca,,,Cambodia_Hernia or Hydrocoele,Cambodia_Hernia or Hydrocoele,hernia/hydrocoele,ក្លនលូនឬពងកោប,,,Misc,N/A,,,,,,,,,,,
fc47165b-efc2-400e-8bc3-b0e4fb1feda4,,,Cambodia_Other GU Symptoms,Cambodia_Other GU Symptoms,Other GU Symptoms,រោគសញ្ញាប្រព័ន្ធទឹកនោមនិងប្រព័ន្ធបន្តពូជផ្សេងៗ,,,Misc,Text,,,,,,,,,,,
1cf69867-ecf3-4b16-96b5-14de96c3932b,,,Cambodia_Genitourinary Female Symptoms,Cambodia_Genitourinary Female Symptoms,GENITOURINARY Symptoms (F),រោគសញ្ញាប្រព័ន្ធទឹកនោមនិងប្រព័ន្ធបន្តពូជ(ស្រី),,,Question,Coded,,Cambodia_Normal; Cambodia_Dysuria; Cambodia_Frequency of Urinate; Cambodia_Hematuria; Cambodia_Incontinence; Cambodia_Vaginal Discharge; Cambodia_Vaginal Bleeding; Cambodia_Hernia or Hydrocoele; ,,,,,,,,,
b851368a-2742-430b-850c-01c99733e43b,,,Cambodia_Genitourinary Male Symptoms,Cambodia_Genitourinary Male Symptoms,GENITOURINARY Symptoms (M),រោគសញ្ញាប្រព័ន្ធទឹកនោមនិងប្រព័ន្ធបន្តពូជ(បុរស),,,Question,Coded,,Cambodia_Normal; Cambodia_Dysuria; Cambodia_Frequency of Urinate; Cambodia_Hematuria; Cambodia_Incontinence; Cambodia_Hernia or Hydrocoele; ,,,,,,,,,
d5ff02c9-7ec6-493e-bb8f-9844d6f917f7,,,Cambodia_Headaches,Cambodia_Headaches,headaches,ឈឺក្បាល,,,Misc,N/A,,,,,,,,,,,
8080b32c-5c8e-418f-955c-bca75cf25ca2,,,Cambodia_Vertigo,Cambodia_Vertigo,vertigo,វិលមុខ,,,Misc,N/A,,,,,,,,,,,
bd00c49d-f35d-40da-8e1d-5affc657c0d3,,,Cambodia_Seizures,Cambodia_Seizures,seizures,ប្រកាច់,,,Misc,N/A,,,,,,,,,,,
023dbcd4-431d-4465-a616-e779d585485f,,,Cambodia_Syncope,Cambodia_Syncope,syncope,ខ្យល់គ,,,Misc,N/A,,,,,,,,,,,
5f584b12-f173-4424-9b41-2046541aab8b,,,Cambodia_Sensory Changes,Cambodia_Sensory Changes,sensory changes,ផ្លាស់ប្តូរញាណដឺង,,,Misc,N/A,,,,,,,,,,,
b382a396-5ab1-4cf6-aa1b-405a4429a8ab,,,Cambodia_Motor Changes,Cambodia_Motor Changes,motor changes,ផ្លាស់ប្តូរកំលាំង,,,Misc,N/A,,,,,,,,,,,
b17feb62-208a-45a0-af26-fa2ecb1f47d3,,,Cambodia_Balance Problems,Cambodia_Balance Problems,balance problems,បញ្ហាលំនឺង,,,Misc,N/A,,,,,,,,,,,
2853c78d-b680-4513-87c9-fc3ebcd35945,,,Cambodia_Dizziness,Cambodia_Dizziness,dizziness,ងងឺតមុខ,,,Misc,N/A,,,,,,,,,,,
65927e2a-c464-4433-bc85-e4f78551c2a5,,,Cambodia_Other Neurologic Symptoms,Cambodia_Other Neurologic Symptoms,Other Neurological Symptoms,រោគសញ្ញាប្រព័ន្ធសសៃរប្រសាទផ្សេងៗ,,,Misc,Text,,,,,,,,,,,
b101352b-bc6c-42c1-9627-7749ac2a40f1,,,Cambodia_Neurologic Symptoms,Cambodia_Neurologic Symptoms,NEUROLOGICAL Symptoms,រោគសញ្ញាប្រព័ន្ធសសៃរប្រសាទ,,,Question,Coded,,Cambodia_Normal; Cambodia_Headaches; Cambodia_Vertigo; Cambodia_Seizures; Cambodia_Syncope; Cambodia_Sensory Changes; Cambodia_Motor Changes; Cambodia_Balance Problems; Cambodia_Dizziness;,,,,,,,,,
fd490953-6ccb-4ec7-abbf-82d6b9b4784d,,,Cambodia_Pain,Cambodia_Pain,muscle pain,ឈឺ​សាច់ដុំ,,,Misc,N/A,,,,,,,,,,,
8d102838-13df-442e-aaca-ce8639df4dd6,,,Cambodia_Joint Pain,Cambodia_Joint Pain,joint pain,ឈឺសន្លាក់,,,Misc,N/A,,,,,,,,,,,
3f5c7048-bd0c-4220-ae2b-79dadb9058bd,,,Cambodia_Stiffness,Cambodia_Stiffness,stiffness,រឺង​ឬគាំង,,,Misc,N/A,,,,,,,,,,,
b542f05a-84df-4094-a392-6064100c10f0,,,Cambodia_Swelling,Cambodia_Swelling,swelling,ហើម,,,Misc,N/A,,,,,,,,,,,
2ca25136-8e8e-4cf2-bbe6-b281a16da388,,,Cambodia_Restriction of Motion,Cambodia_Restriction of Motion,restriction of motion,ចលនមានកំរិត,,,Misc,N/A,,,,,,,,,,,
b02f09d7-733a-4843-992d-fd75dd096a33,,,Cambodia_Other Musculoskeletal Symptoms,Cambodia_Other Musculoskeletal Symptoms,Other Musculoskeletal Symptoms,រោគសញ្ញាសាច់ដុំ ឆ្អឹងផ្សេងៗ,,,Misc,Text,,,,,,,,,,,
36e9bd08-ca17-4855-9965-a258cea737d0,,,Cambodia_Musculoskeletal Symptoms,Cambodia_Musculoskeletal Symptoms,MUSCULOSKELETAL Symptoms (Joint/Muscle),រោគសញ្ញាសាច់ដុំ ឆ្អឹង(​សន្លាក់ ឬសាច់ដុំ),,,Question,Coded,,Cambodia_Normal; Cambodia_Pain; Cambodia_Joint Pain; Cambodia_Stiffness; Cambodia_Swelling; Cambodia_Restriction of Motion; ,,,,,,,,,
ec33c0b1-04ab-4c01-b1b9-d0b599792d4a,,,Cambodia_Polyuria or Polydipsia,Cambodia_Polyuria or Polydipsia,polyuria/polydipsia,នោមច្រើន/ផឺកច្រើន,,,Misc,N/A,,,,,,,,,,,
3faa713f-0a1e-46b7-9ebb-795c1915ffeb,,,Cambodia_Hirsutism,Cambodia_Hirsutism,hirsutism,ដុុះរោមមិនធម្មតា(ស្រ្តី),,,Misc,N/A,,,,,,,,,,,
04f655fe-6718-48f5-8ee8-3fad5bc40f5d,,,Cambodia_Other Endocrine Symptoms,Cambodia_Other Endocrine Symptoms,Endocrine Details,លម្អិតប្រព័ន្ធក្រពេញ,,,Misc,Text,,,,,,,,,,,
f016d723-ef2c-40db-9b6b-7984ef1fbe57,,,Cambodia_Endocrine Symptoms,Cambodia_Endocrine Symptoms,ENDOCRINE Symptoms,រោគសញ្ញាប្រព័ន្ធក្រពេញ,,,Misc,Coded,,Cambodia_Normal; Cambodia_Polyuria or Polydipsia; Cambodia_Hirsutism; ,,,,,,,,,
8f266cc6-e5e9-4fbf-b4c4-10de086dad89,,,Cambodia_Rash,Cambodia_Rash,rash,រមាស់,,,Misc,N/A,,,,,,,,,,,
8f04bc98-23a8-4362-86ba-18a0bd2be637,,,Cambodia_Pruritus,Cambodia_Pruritus,pruritus,កន្តួលរមាស់,,,Misc,N/A,,,,,,,,,,,
ef5f67d3-da38-4b99-960e-9dc70b5c7f22,,,Cambodia_Acne,Cambodia_Acne,acne,មុន,,,Misc,N/A,,,,,,,,,,,
eb0996ec-58cd-40d4-92f7-59d97080c7d5,,,Cambodia_Urticaria,Cambodia_Urticaria,urticaria,កន្ទាលត្រអាក,,,Misc,N/A,,,,,,,,,,,
98a7a5ed-d144-4d55-8690-7a666db82982,,,Cambodia_Other Skin Symptoms,Cambodia_Other Skin Symptoms,Other Skin Symptoms,រោគសញ្ញាស្បែកផ្សេងៗ,,,Misc,Text,,,,,,,,,,,
d6f4be29-9560-4ade-aeab-043e5b1a434c,,,Cambodia_Skin Symptoms,Cambodia_Skin Symptoms,SKIN Symptoms,រោគសញ្ញាស្បែក,,,Question,Coded,,Cambodia_Normal; Cambodia_Rash; Cambodia_Pruritus; Cambodia_Acne; Cambodia_Urticaria; ,,,,,,,,,
0681e0df-aaa0-4e0d-8f28-459bb00a793f,,TRUE,Cambodia_Skin Exam,Cambodia_Skin Exam,Skin Exam,ស្បែក,,,Question,Coded,,Cambodia_Normal; Cambodia_Abnormal; ,,,,,,,,,
a02c3a3e-944f-4c44-8384-a187528029a7,,,Cambodia_Signs of Dehydration,Cambodia_Signs of Dehydration,poor skin turgor/edema/dehydration signs,ស្បែកក្ររលា/ហើម/សញ្ញាខ្វះជាតិទឹក,,,Misc,N/A,,,,,,,,,,,
16705646-c561-4e41-a8af-9f6f01742b62,,,Cambodia_Pallor,Cambodia_Pallor,pallor,ស្លេកស្លាំង,,,Misc,N/A,,,,,,,,,,,
a519ee16-0fba-4223-bc0e-37bfbe56054b,,,Cambodia_Cyanosis,Cambodia_Cyanosis,cyanosis,ឡើងស្វាយ,,,Misc,N/A,,,,,,,,,,,
db23db5f-9c41-42dc-92e7-1e756ef22080,,,Cambodia_Lesion,Cambodia_Lesion,lesion,ដំបៅ,,,Misc,N/A,,,,,,,,,,,
86b2d7e4-71e3-456a-9cca-d460a5ad3b2a,,,Cambodia_Jaundice,Cambodia_Jaundice,jaundice,លឿង,,,Misc,N/A,,,,,,,,,,,
b04a2fa7-17cb-434b-866f-ab31efdae617,,,Cambodia_Redness,Cambodia_Redness,redness,ក្រហម,,,Misc,N/A,,,,,,,,,,,
02729897-5ae5-4919-8966-4bddae42b84e,,,Cambodia_Skin Swelling,Cambodia_Skin Swelling,swelling,ហើម,,,Misc,N/A,,,,,,,,,,,
d985ab69-ce20-4c82-8bec-0a15498bd22c,,,Cambodia_Ecchymosis,Cambodia_Ecchymosis,ecchymosis,ហូរឈាមក្រោមស្បែក,,,Misc,N/A,,,,,,,,,,,
2570b136-45f1-43f5-bc0a-36905202c720,,,Cambodia_Skin Exam Abnormalities,Cambodia_Skin Exam Abnormalities,Skin Signs,សញ្ញាស្បែក,,,Question,Coded,,Cambodia_Normal; Cambodia_Rash; Cambodia_Pallor; Cambodia_Cyanosis; Cambodia_Lesion; Cambodia_Jaundice; Cambodia_Redness; Cambodia_Skin Swelling; Cambodia_Ecchymosis; Cambodia_Signs of Dehydration;,,,,,,,,,
6983985a-707b-4093-a7b1-aebc2a648d31,,,Cambodia_Skin Exam Details,Cambodia_Skin Exam Details,Skin Details,លម្អិតស្បែក,,,Question,Text,,,,,,,,,,,
4a8ec9c4-04ec-4330-aca3-fe980ee75adb,,TRUE,Cambodia_Head Exam,Cambodia_Head Exam,Head Exam,ក្បាល​,,,Question,Coded,,Cambodia_Normal; Cambodia_Abnormal; ,,,,,,,,,
d327a06e-8b11-4172-8456-9df5420d3a5a,,,Cambodia_Sunken or Bulging Fontanelle,Cambodia_Sunken or Bulging Fontanelle,sunken/bulging fontanelle,ភ្នែករូង ឬ​ ប្រហើយប៉ោង,,,Misc,N/A,,,,,,,,,,,
c6f72b9c-e44e-4c2a-aee4-e677613491f2,,,Cambodia_Head Exam Abnormalities,Cambodia_Head Exam Abnormalities,Head Signs,សញ្ញាក្បាល​,,,Question,Coded,,Cambodia_Normal; Cambodia_Sunken or Bulging Fontanelle;,,,,,,,,,
7df03fb4-4d36-43f7-b3e9-a33a72474e05,,,Cambodia_Head Circumference,Cambodia_Head Circumference,Head Circumference,វាស់ក្បាល,,,Question,Numeric,,,,TRUE,cm,,,0,,,
623da311-3f7e-4f07-80f9-d43e41b03cd4,,TRUE,Cambodia_Neck Exam,Cambodia_Neck Exam,Neck Exam,ក,,,Question,Coded,,Cambodia_Normal; Cambodia_Abnormal; ,,,,,,,,,
83d328b6-b144-44db-a4ed-053ebd4fa0b7,,,Cambodia_Lymphadenopathy,Cambodia_Lymphadenopathy,lymphadenopathy,ជម្ងឺកូនកណ្តុរ,,,Misc,N/A,,,,,,,,,,,
31550e48-d1ee-4eb8-8f3d-38bed1e005d0,,,Cambodia_Thyroid mass,Cambodia_Thyroid mass,thyroid mass,ដុំនៅក្រពេញទីរ៉ូអីុត,,,Misc,N/A,,,,,,,,,,,
e98f5de7-8915-44fe-8133-05891c384924,,,Cambodia_Nuchal Rigidity,Cambodia_Nuchal Rigidity,nuchal rigidity,ភាពរឹង Nuchal,,,Misc,N/A,,,,,,,,,,,
29d7cbf2-8c8f-46c3-94f0-f2b375a3fdea,,,Cambodia_Neck Exam Abnormalities,Cambodia_Neck Exam Abnormalities,Neck Signs,សញ្ញាក,,,Question,Coded,,Cambodia_Normal; Cambodia_Lymphadenopathy; Cambodia_Thyroid mass; Cambodia_Nuchal Rigidity;,,,,,,,,,
f0329a42-0433-497a-9849-5c7da843a757,,TRUE,Cambodia_Ears Exam,Cambodia_Ears Exam,Ears Exam,ត្រចៀក,,,Question,Coded,,Cambodia_Normal; Cambodia_Abnormal; ,,,,,,,,,
dc3e2ddd-7f00-406c-8bf2-7ab6229c927b,,,Cambodia_Fluid or Pus,Cambodia_Fluid or Pus,fluid/pus,មានខ្ទុះឬសារធាតុរាវ,,,Misc,N/A,,,,,,,,,,,
68f0101c-e3fc-419b-9462-eb1facab906e,,,Cambodia_Perforation,Cambodia_Perforation,perforation,ធ្លុះក្រដាសត្រចៀក,,,Misc,N/A,,,,,,,,,,,
3190f3e7-9edc-4695-8ae3-5472c5101ee1,,,Cambodia_Earwax Block,Cambodia_Earwax Block,earwax block,ស្ទះរន្ធអាចម៏ត្រចៀក,,,Misc,N/A,,,,,,,,,,,
1980719b-b074-4247-91d1-2c6d13e6d1d6,,,Cambodia_Suppuration/Mastoid Tenderness,Cambodia_Suppuration/Mastoid Tenderness,suppuration/mastoid tenderness,ធ្លាយក្រដាសត្រចៀកហូរខ្ទុះចេញ/ឈឺនៅត្រង់ឆ្អឹងម៉ាស់ស្តូអ៊ីត(ឈឺនៅក្រោយត្រចៀក),,,Misc,N/A,,,,,,,,,,,
87ba765c-8894-4d5c-9b95-8bf0b04e4963,,,Cambodia_Ears Exam Abnormalities,Cambodia_Ears Exam Abnormalities,Ear Signs,សញ្ញាត្រចៀក,,,Question,Coded,,Cambodia_Normal; Cambodia_Fluid or Pus; Cambodia_Perforation; Cambodia_Earwax Block; Cambodia_Suppuration/Mastoid Tenderness;,,,,,,,,,
bcab6545-9cac-428c-acc7-e359f9edd635,,TRUE,Cambodia_Eyes Exam,Cambodia_Eyes Exam,Eyes Exam,ភ្នែក,,,Question,Coded,,Cambodia_Normal; Cambodia_Abnormal; ,,,,,,,,,
efb7ef69-73c0-4828-a669-7700f8affec9,,,Cambodia_PERRLA,Cambodia_PERRLA,PERRLA,ប្រស្រីភ្នែកមានរាងមូលទំហំ ស្មើគ្នានិងប្រតិកម្មទៅនឺងពន្លឺ,,,Misc,N/A,,,,,,,,,,,
25977137-c89e-4960-b5e4-f8a111d3aa82,,,Cambodia_Scleral icterus,Cambodia_Scleral icterus,scleral icterus,លឿង​នៅsclera,,,Misc,N/A,,,,,,,,,,,
60842847-3284-4397-acd3-5db833b0e4b6,,,Cambodia_Conjunctiva Redness,Cambodia_Conjunctiva Redness,conjunctiva redness,ភ្នាស​ត្របកភ្នែកឡើងក្រហម,,,Misc,N/A,,,,,,,,,,,
cebe9d1e-34e4-4665-81d1-fa0eb6a2639c,,,Cambodia_Eyes Exam Abnormalities,Cambodia_Eyes Exam Abnormalities,Eye Signs,សញ្ញាភ្នែក,,,Question,Coded,,Cambodia_Normal; Cambodia_PERRLA; Cambodia_Scleral icterus; Cambodia_Conjunctiva Redness; ,,,,,,,,,
af31fc19-06ec-4f2b-8e92-eb8414d8e294,,,Cambodia_HEENT Exam Details and Other,Cambodia_HEENT Exam Details and Other,HEENT Details,លម្អិតរោគសញ្ញា ក្បាល ភ្នែក ត្រចៀក ច្រមុះ បំពង់ក,,,Question,Text,,,,,,,,,,,
cd56c62a-c7aa-4404-bc6d-d3b43affc304,,TRUE,Cambodia_Chest and Lungs Exam,Cambodia_Chest and Lungs Exam,Chest/Lungs Exam,ទ្រូងនិង​សួត,,,Question,Coded,,Cambodia_Normal; Cambodia_Abnormal; ,,,,,,,,,
bc6df523-3ee1-4d13-bd02-8d4045d4bf39,,,Cambodia_Chest Asymmetrical,Cambodia_Chest Asymmetrical,chest asymmetrical,សភាពទ្រូងមិនស្មើគ្នា,,,Misc,N/A,,,,,,,,,,,
a2c6af85-6d9b-445a-ad2d-d315fafda3dc,,,Cambodia_Chest Indrawing,Cambodia_Chest Indrawing,chest indrawing,ទ្រូងផត,,,Misc,N/A,,,,,,,,,,,
e4a55ddc-42cb-4f78-8a7f-b6374bc3e261,,,Cambodia_Nasal Flaring,Cambodia_Nasal Flaring,nasal flaring,ស្លាបច្រមុះផើតផត,,,Misc,N/A,,,,,,,,,,,
94d005e2-d1d3-4f53-bdf4-1dd88992205a,,,Cambodia_Stridor,Cambodia_Stridor,stridor,ស្រ្តាយឌ័រ,,,Misc,N/A,,,,,,,,,,,
e5f9b87c-6545-47bf-9140-2508c773fc32,,,Cambodia_Grunting,Cambodia_Grunting,grunting,សំលេង,,,Misc,N/A,,,,,,,,,,,
e6f48d89-05d7-47c8-b81a-af83d9f34420,,,Cambodia_Weeze,Cambodia_Weeze,wheeze,ដូចហួច,,,Misc,N/A,,,,,,,,,,,
